t,i,v_spm,v_ecm,soc
435.0,-5.0000,4.14012,4.13463,0.88611
436.0,-5.0000,4.14074,4.13546,0.88639
437.0,-5.0000,4.14124,4.13625,0.88667
438.0,-5.0000,4.14166,4.13699,0.88694
439.0,-5.0000,4.14202,4.13769,0.88722
440.0,-5.0000,4.14235,4.13835,0.88750
441.0,-5.0000,4.14265,4.13897,0.88778
442.0,-5.0000,4.14292,4.13956,0.88806
443.0,-5.0000,4.14317,4.14011,0.88833
444.0,-5.0000,4.14341,4.14064,0.88861
445.0,0.0000,4.09239,4.09353,0.88889
446.0,0.0000,4.09218,4.09325,0.88889
447.0,0.0000,4.09203,4.09299,0.88889
448.0,0.0000,4.09193,4.09275,0.88889
449.0,0.0000,4.09184,4.09252,0.88889
450.0,0.0000,4.09178,4.09231,0.88889
451.0,0.0000,4.09173,4.09211,0.88889
452.0,0.0000,4.09169,4.09193,0.88889
453.0,0.0000,4.09166,4.09176,0.88889
454.0,0.0000,4.09164,4.09159,0.88889
455.0,0.0000,4.09162,4.09144,0.88889
456.0,0.0000,4.09161,4.09130,0.88889
457.0,0.0000,4.09160,4.09117,0.88889
458.0,0.0000,4.09159,4.09105,0.88889
459.0,0.0000,4.09159,4.09093,0.88889
460.0,0.0000,4.09159,4.09083,0.88889
461.0,0.0000,4.09159,4.09073,0.88889
462.0,0.0000,4.09159,4.09064,0.88889
463.0,0.0000,4.09159,4.09055,0.88889
464.0,0.0000,4.09160,4.09047,0.88889
465.0,0.0000,4.09160,4.09040,0.88889
466.0,0.0000,4.09161,4.09033,0.88889
467.0,0.0000,4.09162,4.09026,0.88889
468.0,0.0000,4.09162,4.09020,0.88889
469.0,0.0000,4.09163,4.09015,0.88889
470.0,0.0000,4.09164,4.09009,0.88889
471.0,0.0000,4.09165,4.09005,0.88889
472.0,0.0000,4.09166,4.09000,0.88889
473.0,0.0000,4.09167,4.08996,0.88889
474.0,0.0000,4.09168,4.08992,0.88889
475.0,0.0000,4.09169,4.08988,0.88889
476.0,0.0000,4.09170,4.08985,0.88889
477.0,0.0000,4.09171,4.08982,0.88889
478.0,0.0000,4.09172,4.08979,0.88889
479.0,0.0000,4.09173,4.08977,0.88889
480.0,0.0000,4.09174,4.08974,0.88889
481.0,0.0000,4.09175,4.08972,0.88889
482.0,0.0000,4.09176,4.08970,0.88889
483.0,0.0000,4.09177,4.08968,0.88889
484.0,0.0000,4.09178,4.08967,0.88889
485.0,20.0000,3.90751,3.89923,0.88889
486.0,20.0000,3.90493,3.89621,0.88778
487.0,20.0000,3.90227,3.89336,0.88667
488.0,20.0000,3.89964,3.89065,0.88556
489.0,20.0000,3.89705,3.88809,0.88444
490.0,0.0000,4.08191,4.07608,0.88333
491.0,0.0000,4.08345,4.07682,0.88333
492.0,0.0000,4.08451,4.07752,0.88333
493.0,0.0000,4.08527,4.07816,0.88333
494.0,0.0000,4.08585,4.07877,0.88333
495.0,0.0000,4.08631,4.07934,0.88333
496.0,0.0000,4.08667,4.07988,0.88333
497.0,0.0000,4.08698,4.08038,0.88333
498.0,0.0000,4.08724,4.08085,0.88333
499.0,0.0000,4.08746,4.08128,0.88333
500.0,0.0000,4.08766,4.08170,0.88333
501.0,0.0000,4.08783,4.08208,0.88333
502.0,0.0000,4.08799,4.08244,0.88333
503.0,0.0000,4.08813,4.08278,0.88333
504.0,0.0000,4.08825,4.08310,0.88333
505.0,0.0000,4.08837,4.08340,0.88333
506.0,0.0000,4.08847,4.08368,0.88333
507.0,0.0000,4.08857,4.08394,0.88333
508.0,0.0000,4.08866,4.08418,0.88333
509.0,0.0000,4.08875,4.08441,0.88333
510.0,0.0000,4.08882,4.08463,0.88333
511.0,0.0000,4.08890,4.08483,0.88333
512.0,0.0000,4.08897,4.08502,0.88333
513.0,0.0000,4.08903,4.08520,0.88333
514.0,0.0000,4.08910,4.08536,0.88333
515.0,0.0000,4.08915,4.08552,0.88333
516.0,0.0000,4.08921,4.08567,0.88333
517.0,0.0000,4.08926,4.08581,0.88333
518.0,0.0000,4.08931,4.08594,0.88333
519.0,0.0000,4.08936,4.08606,0.88333
520.0,0.0000,4.08941,4.08617,0.88333
521.0,0.0000,4.08945,4.08628,0.88333
522.0,0.0000,4.08950,4.08638,0.88333
523.0,0.0000,4.08954,4.08648,0.88333
524.0,0.0000,4.08958,4.08657,0.88333
525.0,0.0000,4.08961,4.08665,0.88333
526.0,0.0000,4.08965,4.08673,0.88333
527.0,0.0000,4.08969,4.08680,0.88333
528.0,0.0000,4.08972,4.08687,0.88333
529.0,0.0000,4.08975,4.08694,0.88333
530.0,5.0000,4.03852,4.03940,0.88333
531.0,5.0000,4.03798,4.03869,0.88306
532.0,5.0000,4.03750,4.03803,0.88278
533.0,5.0000,4.03707,4.03740,0.88250
534.0,5.0000,4.03667,4.03681,0.88222
535.0,5.0000,4.03630,4.03625,0.88194
536.0,5.0000,4.03595,4.03572,0.88167
537.0,5.0000,4.03562,4.03521,0.88139
538.0,5.0000,4.03530,4.03473,0.88111
539.0,5.0000,4.03499,4.03428,0.88083
540.0,5.0000,4.03469,4.03384,0.88056
541.0,5.0000,4.03440,4.03343,0.88028
542.0,5.0000,4.03411,4.03304,0.88000
543.0,5.0000,4.03383,4.03267,0.87972
544.0,5.0000,4.03356,4.03231,0.87944
545.0,5.0000,4.03329,4.03197,0.87917
546.0,5.0000,4.03302,4.03164,0.87889
547.0,5.0000,4.03276,4.03133,0.87861
548.0,5.0000,4.03249,4.03103,0.87833
549.0,5.0000,4.03224,4.03075,0.87806
550.0,5.0000,4.03198,4.03047,0.87778
551.0,5.0000,4.03172,4.03021,0.87750
552.0,5.0000,4.03147,4.02995,0.87722
553.0,5.0000,4.03122,4.02971,0.87694
554.0,5.0000,4.03097,4.02947,0.87667
555.0,5.0000,4.03072,4.02924,0.87639
556.0,5.0000,4.03048,4.02902,0.87611
557.0,5.0000,4.03023,4.02880,0.87583
558.0,5.0000,4.02999,4.02859,0.87556
559.0,5.0000,4.02974,4.02839,0.87528
560.0,5.0000,4.02950,4.02819,0.87500
561.0,5.0000,4.02926,4.02800,0.87472
562.0,5.0000,4.02902,4.02781,0.87444
563.0,5.0000,4.02877,4.02763,0.87417
564.0,5.0000,4.02853,4.02745,0.87389
565.0,5.0000,4.02829,4.02727,0.87361
566.0,5.0000,4.02805,4.02710,0.87333
567.0,5.0000,4.02782,4.02693,0.87306
568.0,5.0000,4.02758,4.02676,0.87278
569.0,5.0000,4.02734,4.02660,0.87250
570.0,5.0000,4.02710,4.02644,0.87222
571.0,5.0000,4.02686,4.02628,0.87194
572.0,5.0000,4.02662,4.02612,0.87167
573.0,5.0000,4.02639,4.02597,0.87139
574.0,5.0000,4.02615,4.02581,0.87111
575.0,5.0000,4.02591,4.02566,0.87083
576.0,5.0000,4.02567,4.02551,0.87056
